on_off,id,date_submitted,last_page,date_started,date_last_act,irm11,irm12,irm21,irm31,irm32,irm33,irm34,irm35,irm36,irm37,irm41,irm42,irm51,irm52,irm53,utility_code,country_id,region
online,53,30/11/2022 21:11,6,30/11/2022 21:01,30/11/2022 21:11,Score 5The Utility’s senior management has established a set of ethical values and integrity principles beyond what is required by law and regulations.There is evidence of regular communication by senior management about the organisation’s integrity standards to both staff and external stakeholders.,"Score 5The code of conduct (or a similar document) contains ALL of the elements outlined in Level 3.The code of conduct was revised at most 3 years ago or more recently, after 1) the most recent changes to workplace profiles, including restructuring, relocation, changes in key roles or decision-making processes, or 2) the most recent changes in the external environment, including sector reform, new relevant legislation, changes in government strategies or in contractors’ business practices.Code of conduct training is routinely given to new employees as part of their induction programme.","Score 5The Utility regularly conducts integrity risk assessments. The assessments consider a comprehensive list of integrity risks, which the Utility reviews and updates to incorporate new risks emerging from changes to the workplace profile or changes in the external environment.","Score 3There is a gift policy in place, with clear definitions of the value and type of gift permissible to employees.There is a mechanism for employees only to self-disclose to the organisation any potential or actual conflicts of interest.Conflicts of interest declarations are not required from the board of directors or contractors.","Score 3There is a written whistle-blowing policy. However, it lacks vital elements such as a guaranteed anonymous reporting or incentives for reporting violations.There is evidence that employees were trained on the use of the whistle-blower mechanism, however the training took place more than 3 years ago.","Score 3Most positions have a clear job description and statement of the minimum competencies. Most, but not all, open positions are advertised.There is a shortlisting and interview process. In the non-discrimination policy related to recruitment, some of the following elements are missing: gender, race, ethnicity, religion, age or disability.The outcomes of the recruitment process for managerial positions are not always publicly announced.There is a process for objections relating to recruitment, although it is not explicitly communicated to job candidates.",Score 2Between 1 and 3,Score 2Between 1 and 3,Score 4Between 3 and 5,"Score 5There is an approved annual budget and all expense accounts are regularly reviewed and analysed using comparisons with budgeted amounts.Reconciliation of all accounts is carried out at frequent regular intervals, such as monthly or quarterly. The following accounts are reconciled at minimum: accounts receivable, accounts payable, bank statements, and payroll registers to the general ledger control accounts.The employee payroll list is reviewed periodically for duplicates and ghost employees.The Utility conducts random, unannounced audits of all of the following: inventory, cash, expense, purchasing, billing, and other accounts by internal or external auditors. The Utility implements a non-revenue water reduction programme, which includes all of the following components: water balance analysis, leak detection, repair and maintenance, performance incentives, field audits, commercial audits, maintaining an up-to-date customer database.The Utility has a disconnection policy for non-payment. The disconnection policy takes tailored approaches to various customer segments, and has safeguards to protect vulnerable customers during the debt recovery process.","Score 3The Utility has a written policy to guide managers and to ensure consistency in disciplinary action against integrity malpractices and misconduct.Roles in relation to investigation of allegations of integrity malpractices perpetrated by staff, disciplinary action, and referral of allegations of corruption to relevant authorities are clearly defined, however they are not fully resourced (staff and budget).If disciplinary action was taken against staff in the past, there was no communication to the Utility employees about the case and the nature of the disciplinary action. The records of the allegations of malpractice or corruption are lost or not maintained.",Score 2Between 1 and 3,"Score 3The Utility has previously published, on an ad hoc basis, information on its integrity standards, integrity risk mitigation measures, and outcomes of its integrity efforts.Internal audit monitors integrity risks related to activities of non-management staff. However, internal audit does not assess integrity risks related to corporate governance processes.Internal audit reports on integrity risks to the board of directors only, on an ad hoc basis.There is evidence that the board of directors has taken only ad hoc action against management override or fraud. The board of directors does not regularly monitor the risk of management override and fraud.",Score 2Between 1 and 3,Score 5The Utility implements an action plan to respond to all findings and recommendations from external audit.The Utility manages to comply fully with standards and directives set by the relevant regulatory body for water and sanitation services.The Utility regularly (at least annually) reports progress on its mandate to expand services to the unserved or underserved areas.,11,3,Western Europe
online,55,01/12/2022 08:56,6,01/12/2022 08:37,01/12/2022 08:56,Score 5The Utility’s senior management has established a set of ethical values and integrity principles beyond what is required by law and regulations.There is evidence of regular communication by senior management about the organisation’s integrity standards to both staff and external stakeholders.,"Score 5The code of conduct (or a similar document) contains ALL of the elements outlined in Level 3.The code of conduct was revised at most 3 years ago or more recently, after 1) the most recent changes to workplace profiles, including restructuring, relocation, changes in key roles or decision-making processes, or 2) the most recent changes in the external environment, including sector reform, new relevant legislation, changes in government strategies or in contractors’ business practices.Code of conduct training is routinely given to new employees as part of their induction programme.","Score 5The Utility regularly conducts integrity risk assessments. The assessments consider a comprehensive list of integrity risks, which the Utility reviews and updates to incorporate new risks emerging from changes to the workplace profile or changes in the external environment.","Score 5There is a gift policy in place, with clear definitions of the value and type of gift permissible to employees.Conflicts of interest declarations are required from 1) management 2) board members 3) contractors.The Utility maintains a registry of all conflicts of interest declarations.The agenda of the board of director meetings includes a standing item on conflicts of interest declarations, to enable attendees to identify any conflicts of interest relating to the agenda items.","Score 5There is a written whistle-blowing policy, which clearly spells out the protection offered to employees against discrimination, dismissal or other forms of retribution for reporting misconduct and cooperating with an audit or investigation. The policy also guarantees anonymous reporting or provides incentives for reporting violations.An annual training course on the whistle-blowing policy is provided to employees.",Score 4Between 3 and 5,"Score 5The Utility has established procurement thresholds and procedures for competitive bidding, and they are fully adhered to in all contracts. The Utility conducts due diligence and background checks on all contractors. Organisational policies explicitly prohibit the acceptance of personal gifts or gratuities from bidders and contractors.The Utility sanctions contractors for non-compliance with its integrity rules on procurement. The Utility systematically assesses complaints and whistle-blowing reports regarding procurement irregularities.There is evidence of community monitoring in large procurement projects.All of the following tasks are apportioned between different departments or individuals: procurement requisition, requisition approval, purchase order issuance, receiving (inspecting good or services), payment disbursement.","Score 5The Utility discloses all minimum financial and non-financial information outlined under Level 3. The financial statements are published both in their original format, and also in a summarised form to make them more easily understandable. All information is up-to-date, and available in a searchable format on the organisation's website. There is evidence that the organisation systematically fulfils access to information requests.","Score 5The Utility implements a public participation policy, which requires, as a minimum, direct annual meetings involving each customer group defined by demographic segmentation, including gender, socioeconomic status, geography, ethnicity, and language.The Utility assigns staff responsibilities for recording, reviewing, and responding to stakeholder feedback. There is evidence that outcomes of user participation and feedback are incorporated in decision-making processes.The Utility has a well-functioning complaints mechanism, which assigns staff responsibilities for recording complaints, reporting complaints to the appropriate managers, resolving complaints, responding to users, and monitoring action taken against complaints.","Score 5There is an approved annual budget and all expense accounts are regularly reviewed and analysed using comparisons with budgeted amounts.Reconciliation of all accounts is carried out at frequent regular intervals, such as monthly or quarterly. The following accounts are reconciled at minimum: accounts receivable, accounts payable, bank statements, and payroll registers to the general ledger control accounts.The employee payroll list is reviewed periodically for duplicates and ghost employees.The Utility conducts random, unannounced audits of all of the following: inventory, cash, expense, purchasing, billing, and other accounts by internal or external auditors. The Utility implements a non-revenue water reduction programme, which includes all of the following components: water balance analysis, leak detection, repair and maintenance, performance incentives, field audits, commercial audits, maintaining an up-to-date customer database.The Utility has a disconnection policy for non-payment. The disconnection policy takes tailored approaches to various customer segments, and has safeguards to protect vulnerable customers during the debt recovery process.","Score 5The Utility has a written policy to guide managers and to ensure consistency in disciplinary action against integrity malpractices and misconduct. The policy has been duly shared and communicated to the staff.Roles in relation to investigation of allegations of integrity malpractice perpetrated by staff, disciplinary action, and referral of allegations of corruption to relevant authorities are clearly defined and fully resourced (staff and budget).Records of all allegations of malpractice or corruption, as well as any resulting disciplinary action are held centrally (such as with Human Resources).If a disciplinary action was taken against staff in the past, information about the case and the nature of disciplinary action was communicated to the Utility employees to make them aware of the consequences of corrupt behaviour.","Score 5The Utility has a written and approved sanctions’ policy. The contracts explicitly stipulate a set of sanctionable misconduct and the specific consequences for the misconduct.Roles in relation to investigation of allegations of integrity malpractice perpetrated by contractors, disciplinary action, and referral of allegations of corruption to relevant authorities are clearly defined and fully resourced (staff and budget).Records of sanctions, a black and/or white list of contractors are held centrally and accessibly to conduct background checks on bidders.All sanctioned organisations are required to implement comprehensive corrective measures to enable them to resume their business relationship with the Utility after a cooling off period of ineligibility to undertake work for the Utility.","Score 5The Utility regularly communicates a summary of its integrity standards, integrity risk mitigation measures, and outcomes in an easily accessible public platform, such as on its website and/or in its annual report.There is evidence that internal audit assesses integrity risks related to both activities of non-management staff and corporate governance processes.Internal audit regularly reports on integrity risks to the board of directors.The board of directors regularly monitors the risk of management override and fraud.",Score 5There is a policy to ascertain whether the integrity risk management is functioning effectively.The board of directors regularly (at least annually) provides oversight of integrity risks by reviewing and assessing the Utility’s integrity risk management programme and capacity.An independent auditor assesses the Utility's implementation of the integrity risk management programme on an annual basis.,Score 5The Utility implements an action plan to respond to all findings and recommendations from external audit.The Utility manages to comply fully with standards and directives set by the relevant regulatory body for water and sanitation services.The Utility regularly (at least annually) reports progress on its mandate to expand services to the unserved or underserved areas.,12,3,Western Europe
online,57,,2,01/12/2022 22:21,01/12/2022 22:22,"Score 1The Utility’s senior management is not closely involved in integrity management. Integrity management is delegated to middle or lower management instead, such as internal audit or a similar department.There is no evidence of communication by senior management with staff or external stakeholders on the organisation’s integrity standards.","Score 1There is no written code of conduct (or similar document) outlining what the Utility expects from staff regarding values, rules, standards, and principles.",Score 4Between 3 and 5,,,,,,,,,,,,,NA,NA,UNKNOWN
online,58,,5,08/12/2022 09:05,08/12/2022 09:13,"Score 1The Utility’s senior management is not closely involved in integrity management. Integrity management is delegated to middle or lower management instead, such as internal audit or a similar department.There is no evidence of communication by senior management with staff or external stakeholders on the organisation’s integrity standards.","Score 1There is no written code of conduct (or similar document) outlining what the Utility expects from staff regarding values, rules, standards, and principles.",Score 2Between 1 and 3,"Score 5There is a gift policy in place, with clear definitions of the value and type of gift permissible to employees.Conflicts of interest declarations are required from 1) management 2) board members 3) contractors.The Utility maintains a registry of all conflicts of interest declarations.The agenda of the board of director meetings includes a standing item on conflicts of interest declarations, to enable attendees to identify any conflicts of interest relating to the agenda items.","Score 5There is a written whistle-blowing policy, which clearly spells out the protection offered to employees against discrimination, dismissal or other forms of retribution for reporting misconduct and cooperating with an audit or investigation. The policy also guarantees anonymous reporting or provides incentives for reporting violations.An annual training course on the whistle-blowing policy is provided to employees.",Score 4Between 3 and 5,Score 2Between 1 and 3,Score 2Between 1 and 3,"Score 3The Utility has both a written public participation policy and a complaints mechanism in place.The public participation policy does not explicitly require that the Utility engage with each customer group demographic defined by demographic segmentation, including socioeconomic status, geography, ethnicity, and language.Staff responsibilities are not assigned for, or there are capacity gaps in, recording, reviewing, and responding to citizen feedback and/or complaints.","Score 3There is an approved annual budget, however expense accounts are not systematically reviewed and analysed using comparisons with budgeted amounts.Reconciliation of accounts is seldom carried out (at most once per year), and at least one of the following accounts is not reconciled: accounts receivable, accounts payable, bank statements, or payroll registers to the general ledger control accounts. The employee payroll list is reviewed on an ad hoc basis for duplicates and ghost employees.The Utility conducts some random audits, but at least one of the following accounts is not audited: inventory, cash, expense, purchasing, billing, and other accounts by internal or external auditors.The Utility implements some measures to reduce non-revenue water, however at least one of the following practices is missing: water balance analysis, leak detection, repair and maintenance, performance incentives, field audits, commercial audits, maintaining an up-to-date customer database.The Utility has a disconnection policy for non-payment. The disconnection policy does not differentiate between various customer segments and offers no safeguards to vulnerable customers during the debt recovery process.","Score 5The Utility has a written policy to guide managers and to ensure consistency in disciplinary action against integrity malpractices and misconduct. The policy has been duly shared and communicated to the staff.Roles in relation to investigation of allegations of integrity malpractice perpetrated by staff, disciplinary action, and referral of allegations of corruption to relevant authorities are clearly defined and fully resourced (staff and budget).Records of all allegations of malpractice or corruption, as well as any resulting disciplinary action are held centrally (such as with Human Resources).If a disciplinary action was taken against staff in the past, information about the case and the nature of disciplinary action was communicated to the Utility employees to make them aware of the consequences of corrupt behaviour.","Score 3The Utility has a written and approved sanctions’ policy against contractors for non-compliance. The contracts stipulate a set of sanctionable misconduct, however the specific consequences for them are not described.Roles in relation to investigation of allegations of integrity malpractice perpetrated by contractors, disciplinary action, and referral of allegations of corruption to relevant authorities are clearly defined, but not fully resourced (staff and budget).If contractors were sanctioned by the Utility, the records of the sanctions are not maintained for conducting background checks on bidders.There is a cooling off period for sanctioned contractors before they can bid for works commissioned by the Utility. However, the Utility does not require the sanctioned contractors to implement any corrective measures before resuming business relationship.","Score 5The Utility regularly communicates a summary of its integrity standards, integrity risk mitigation measures, and outcomes in an easily accessible public platform, such as on its website and/or in its annual report.There is evidence that internal audit assesses integrity risks related to both activities of non-management staff and corporate governance processes.Internal audit regularly reports on integrity risks to the board of directors.The board of directors regularly monitors the risk of management override and fraud.",Score 5There is a policy to ascertain whether the integrity risk management is functioning effectively.The board of directors regularly (at least annually) provides oversight of integrity risks by reviewing and assessing the Utility’s integrity risk management programme and capacity.An independent auditor assesses the Utility's implementation of the integrity risk management programme on an annual basis.,Score 5The Utility implements an action plan to respond to all findings and recommendations from external audit.The Utility manages to comply fully with standards and directives set by the relevant regulatory body for water and sanitation services.The Utility regularly (at least annually) reports progress on its mandate to expand services to the unserved or underserved areas.,NA,NA,UNKNOWN
online,61,,0,19/12/2022 11:44,19/12/2022 11:44,,,,,,,,,,,,,,,,NA,NA,UNKNOWN
online,65,,0,19/01/2023 10:10,19/01/2023 10:13,,,,,,,,,,,,,,,,NA,NA,UNKNOWN
online,66,,1,24/01/2023 09:23,24/01/2023 18:03,"Score 1The Utility’s senior management is not closely involved in integrity management. Integrity management is delegated to middle or lower management instead, such as internal audit or a similar department.There is no evidence of communication by senior management with staff or external stakeholders on the organisation’s integrity standards.","Score 1There is no written code of conduct (or similar document) outlining what the Utility expects from staff regarding values, rules, standards, and principles.",,,,,,,,,,,,,,NA,NA,UNKNOWN
online,68,,5,29/03/2023 17:07,29/03/2023 17:09,"Score 1The Utility’s senior management is not closely involved in integrity management. Integrity management is delegated to middle or lower management instead, such as internal audit or a similar department.There is no evidence of communication by senior management with staff or external stakeholders on the organisation’s integrity standards.",Score 2Between 1 and 3,Score 4Between 3 and 5,Score 2Between 1 and 3,"Score 3There is a written whistle-blowing policy. However, it lacks vital elements such as a guaranteed anonymous reporting or incentives for reporting violations.There is evidence that employees were trained on the use of the whistle-blower mechanism, however the training took place more than 3 years ago.",Score 4Between 3 and 5,"Score 5The Utility has established procurement thresholds and procedures for competitive bidding, and they are fully adhered to in all contracts. The Utility conducts due diligence and background checks on all contractors. Organisational policies explicitly prohibit the acceptance of personal gifts or gratuities from bidders and contractors.The Utility sanctions contractors for non-compliance with its integrity rules on procurement. The Utility systematically assesses complaints and whistle-blowing reports regarding procurement irregularities.There is evidence of community monitoring in large procurement projects.All of the following tasks are apportioned between different departments or individuals: procurement requisition, requisition approval, purchase order issuance, receiving (inspecting good or services), payment disbursement.",Score 4Between 3 and 5,"Score 5The Utility implements a public participation policy, which requires, as a minimum, direct annual meetings involving each customer group defined by demographic segmentation, including gender, socioeconomic status, geography, ethnicity, and language.The Utility assigns staff responsibilities for recording, reviewing, and responding to stakeholder feedback. There is evidence that outcomes of user participation and feedback are incorporated in decision-making processes.The Utility has a well-functioning complaints mechanism, which assigns staff responsibilities for recording complaints, reporting complaints to the appropriate managers, resolving complaints, responding to users, and monitoring action taken against complaints.","Score 5There is an approved annual budget and all expense accounts are regularly reviewed and analysed using comparisons with budgeted amounts.Reconciliation of all accounts is carried out at frequent regular intervals, such as monthly or quarterly. The following accounts are reconciled at minimum: accounts receivable, accounts payable, bank statements, and payroll registers to the general ledger control accounts.The employee payroll list is reviewed periodically for duplicates and ghost employees.The Utility conducts random, unannounced audits of all of the following: inventory, cash, expense, purchasing, billing, and other accounts by internal or external auditors. The Utility implements a non-revenue water reduction programme, which includes all of the following components: water balance analysis, leak detection, repair and maintenance, performance incentives, field audits, commercial audits, maintaining an up-to-date customer database.The Utility has a disconnection policy for non-payment. The disconnection policy takes tailored approaches to various customer segments, and has safeguards to protect vulnerable customers during the debt recovery process.","Score 3The Utility has a written policy to guide managers and to ensure consistency in disciplinary action against integrity malpractices and misconduct.Roles in relation to investigation of allegations of integrity malpractices perpetrated by staff, disciplinary action, and referral of allegations of corruption to relevant authorities are clearly defined, however they are not fully resourced (staff and budget).If disciplinary action was taken against staff in the past, there was no communication to the Utility employees about the case and the nature of the disciplinary action. The records of the allegations of malpractice or corruption are lost or not maintained.","Score 3The Utility has a written and approved sanctions’ policy against contractors for non-compliance. The contracts stipulate a set of sanctionable misconduct, however the specific consequences for them are not described.Roles in relation to investigation of allegations of integrity malpractice perpetrated by contractors, disciplinary action, and referral of allegations of corruption to relevant authorities are clearly defined, but not fully resourced (staff and budget).If contractors were sanctioned by the Utility, the records of the sanctions are not maintained for conducting background checks on bidders.There is a cooling off period for sanctioned contractors before they can bid for works commissioned by the Utility. However, the Utility does not require the sanctioned contractors to implement any corrective measures before resuming business relationship.",Score 4Between 3 and 5,Score 4Between 3 and 5,Score 1The Utility fails to implement an action plan to respond to findings and recommendations from external audit.The Utility fails to comply with standards and directives set by the relevant regulatory body for water and sanitation services.The Utility does not report progress on its mandate to expand services to the unserved or underserved areas.,NA,NA,UNKNOWN
online,69,,0,30/03/2023 17:30,30/03/2023 17:32,,,,,,,,,,,,,,,,NA,NA,UNKNOWN
online,76,,5,06/07/2023 10:45,06/07/2023 10:50,"Score 1The Utility’s senior management is not closely involved in integrity management. Integrity management is delegated to middle or lower management instead, such as internal audit or a similar department.There is no evidence of communication by senior management with staff or external stakeholders on the organisation’s integrity standards.","Score 5The code of conduct (or a similar document) contains ALL of the elements outlined in Level 3.The code of conduct was revised at most 3 years ago or more recently, after 1) the most recent changes to workplace profiles, including restructuring, relocation, changes in key roles or decision-making processes, or 2) the most recent changes in the external environment, including sector reform, new relevant legislation, changes in government strategies or in contractors’ business practices.Code of conduct training is routinely given to new employees as part of their induction programme.","Score 3The Utility conducts integrity risk assessments to comply with regulations, as requested by relevant authorities such as the national anti-corruption agency, sector regulator, ministries, or similar. The assessment scope is exclusively decided upon by the relevant authority.","Score 5There is a gift policy in place, with clear definitions of the value and type of gift permissible to employees.Conflicts of interest declarations are required from 1) management 2) board members 3) contractors.The Utility maintains a registry of all conflicts of interest declarations.The agenda of the board of director meetings includes a standing item on conflicts of interest declarations, to enable attendees to identify any conflicts of interest relating to the agenda items.",Score 4Between 3 and 5,"Score 3Most positions have a clear job description and statement of the minimum competencies. Most, but not all, open positions are advertised.There is a shortlisting and interview process. In the non-discrimination policy related to recruitment, some of the following elements are missing: gender, race, ethnicity, religion, age or disability.The outcomes of the recruitment process for managerial positions are not always publicly announced.There is a process for objections relating to recruitment, although it is not explicitly communicated to job candidates.","Score 3The Utility has established procurement thresholds and procedures for competitive bidding. However, there is evidence of deviation from the procurement rules in some contracts.The Utility conducts due diligence and background checks on contractors on an ad hoc basis. Organisational policies explicitly prohibit the acceptance of personal gifts or gratuities from bidders and contractors.There is no sanctions’ policy for non-compliance with procurement rules or any evidence of community monitoring of procurement processes.A whistle-blower mechanism does not exist or is not embedded in procurement procedures.Some, but not all, of the following tasks are apportioned between different departments or individuals: procurement requisition, requisition approval, purchase order issuance, receiving (inspecting good or services), payment disbursement.",Score 4Between 3 and 5,"Score 3The Utility has both a written public participation policy and a complaints mechanism in place.The public participation policy does not explicitly require that the Utility engage with each customer group demographic defined by demographic segmentation, including socioeconomic status, geography, ethnicity, and language.Staff responsibilities are not assigned for, or there are capacity gaps in, recording, reviewing, and responding to citizen feedback and/or complaints.","Score 3There is an approved annual budget, however expense accounts are not systematically reviewed and analysed using comparisons with budgeted amounts.Reconciliation of accounts is seldom carried out (at most once per year), and at least one of the following accounts is not reconciled: accounts receivable, accounts payable, bank statements, or payroll registers to the general ledger control accounts. The employee payroll list is reviewed on an ad hoc basis for duplicates and ghost employees.The Utility conducts some random audits, but at least one of the following accounts is not audited: inventory, cash, expense, purchasing, billing, and other accounts by internal or external auditors.The Utility implements some measures to reduce non-revenue water, however at least one of the following practices is missing: water balance analysis, leak detection, repair and maintenance, performance incentives, field audits, commercial audits, maintaining an up-to-date customer database.The Utility has a disconnection policy for non-payment. The disconnection policy does not differentiate between various customer segments and offers no safeguards to vulnerable customers during the debt recovery process.","Score 3The Utility has a written policy to guide managers and to ensure consistency in disciplinary action against integrity malpractices and misconduct.Roles in relation to investigation of allegations of integrity malpractices perpetrated by staff, disciplinary action, and referral of allegations of corruption to relevant authorities are clearly defined, however they are not fully resourced (staff and budget).If disciplinary action was taken against staff in the past, there was no communication to the Utility employees about the case and the nature of the disciplinary action. The records of the allegations of malpractice or corruption are lost or not maintained.","Score 3The Utility has a written and approved sanctions’ policy against contractors for non-compliance. The contracts stipulate a set of sanctionable misconduct, however the specific consequences for them are not described.Roles in relation to investigation of allegations of integrity malpractice perpetrated by contractors, disciplinary action, and referral of allegations of corruption to relevant authorities are clearly defined, but not fully resourced (staff and budget).If contractors were sanctioned by the Utility, the records of the sanctions are not maintained for conducting background checks on bidders.There is a cooling off period for sanctioned contractors before they can bid for works commissioned by the Utility. However, the Utility does not require the sanctioned contractors to implement any corrective measures before resuming business relationship.",Score 4Between 3 and 5,"Score 3There is a policy to ascertain whether integrity risk management is functioning effectively.An independent auditor has assessed the Utility's implementation of integrity risk management more than 3 years ago.The board of directors provides oversight of the Utility’s integrity risk management programme, however evaluations are conducted on an ad hoc basis (less than once a year).",Score 3The Utility implements an action plan to respond only to selected findings and recommendations from external audit.The Utility complies partially with standards and directives set by the relevant regulatory body for water and sanitation services.The Utility has reported progress on its mandate to expand services to the unserved or underserved areas more than 3 years ago.,NA,NA,UNKNOWN
online,80,,4,18/08/2023 11:04,18/08/2023 11:17,"Score 1The Utility’s senior management is not closely involved in integrity management. Integrity management is delegated to middle or lower management instead, such as internal audit or a similar department.There is no evidence of communication by senior management with staff or external stakeholders on the organisation’s integrity standards.","Score 1There is no written code of conduct (or similar document) outlining what the Utility expects from staff regarding values, rules, standards, and principles.","Score 1There are no established roles or processes in the Utility to conduct regular integrity risk assessments (e.g. corruption or fraud risk assessments). Such assessments may take place on an ad hoc basis, e.g. as a reaction to a corruption or fraud scandal involving staff members.","Score 1There is no gift policy which states whether employees are allowed to accept gifts, or defines the acceptable value and type of gift permissible to employees.There is no mechanism for board members and employees to self-disclose to the organisation any potential or actual conflicts of interest.","Score 1The Utility does not implement a whistle-blowing policy, which clearly spells out the protection offered to employees against discrimination, dismissal or other forms of retribution for reporting misconduct and cooperating with an audit or investigation.",Score 1Most positions do not have a clear job description and statement of the minimum competencies. Open positions are almost never advertised.Recruitment doesn’t follow any predetermined shortlisting and interview process. There is no explicit anti-discrimination policy related to hiring.,"Score 1There is little evidence of integrity risk management during procurement: there are no procurement thresholds or procedures for competitive bidding.The Utility does not conduct due diligence on contractors. Rules for direct contracting are not clear or not systematically adhered to, and only some procurement is based on predetermined contract award criteria.There is no sanctions’ policy for non-compliance with procurement rules. There is also no evidence of community monitoring of procurement processes.A whistle-blower mechanism does not exist or is not embedded in procurement procedures. There is no organisational policy prohibiting the acceptance of personal gifts or gratuities from bidders and contractors.The following tasks are not apportioned between different departments or individuals: procurement requisition, requisition approval, purchase order issuance, receiving (inspecting good or services), payment disbursement.","Score 1The Utility discloses only the minimum level of information required by law and regulations. Disclosed information may not be complete, up-to-date, or available in a searchable format on organisation's website. There is no evidence that the organisation has capacity to respond to access to information requests",Score 1The Utility does not have a written public participation policy or a complaints mechanism in place.,"Score 1The Utility does not implement most of the following management and financial controls: preparation of annual budget, review of expense accounts, random audits of different accounts, reconciliation of accounts, review of payrolls, non-revenue water reduction programme.The Utility does not have a disconnection policy for non-payment.","Score 1The Utility does not have a written policy to guide managers and to ensure consistency in disciplinary action against integrity malpractices and misconduct.Roles in relation to investigation allegations of integrity malpractice perpetrated by staff, disciplinary action, and referral of allegations of corruption to relevant authorities are not clearly defined or fully resourced (staff and budget).","Score 1The Utility does not have a written and approved sanctions’ policy against contractors for non-compliance. The contracts do not stipulate a set of sanctionable misconduct and the consequences for the misconduct.Roles in relation to investigation of allegations of integrity malpractice perpetrated by contractors, disciplinary action, and referral of allegations of corruption to relevant authorities are not clearly defined or fully resourced (staff and budget).",,,,NA,NA,UNKNOWN
online,88,,0,13/11/2023 13:24,13/11/2023 13:26,,,,,,,,,,,,,,,,NA,NA,UNKNOWN
